0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,4.99999999999945e-05
0.008,0.000299999999999967
0.009,0.001
0.01,0.00190000000000001
0.011,0.00314999999999999
0.012,0.00460000000000005
0.013,0.00605
0.014,0.00765000000000005
0.015,0.00949999999999995
0.016,0.0115
0.017,0.0136500000000001
0.018,0.016
0.019,0.01835
0.02,0.02095
0.021,0.02355
0.022,0.02625
0.023,0.0292
0.024,0.03225
0.025,0.0354
0.026,0.0388500000000001
0.027,0.04205
0.028,0.04565
0.029,0.049
0.03,0.0528
0.031,0.0564
0.032,0.0601
0.033,0.06395
0.034,0.06765
0.035,0.07165
0.036,0.0756
0.037,0.0796
0.038,0.08385
0.039,0.08775
0.04,0.0922500000000001
0.041,0.09645
0.042,0.10085
0.043,0.10515
0.044,0.10965
0.045,0.1139
0.046,0.11845
0.047,0.123
0.048,0.12735
0.049,0.13205
0.05,0.13635
0.051,0.1414
0.052,0.1458
0.053,0.1506
0.054,0.15525
0.055,0.15995
0.056,0.1646
0.057,0.16935
0.058,0.1739
0.059,0.17865
0.06,0.1834
0.061,0.18835
0.062,0.1932
0.063,0.1981
0.064,0.20265
0.065,0.20775
0.066,0.2125
0.067,0.2173
0.068,0.22215
0.069,0.22715
0.07,0.2323
0.071,0.23715
0.072,0.24215
0.073,0.24735
0.074,0.25225
0.075,0.25735
0.076,0.2623
0.077,0.2674
0.078,0.27265
0.079,0.2776
0.08,0.28275
0.081,0.28785
0.082,0.29315
0.083,0.29825
0.084,0.3036
0.085,0.30855
0.086,0.31385
0.087,0.3189
0.088,0.32395
0.089,0.32915
0.09,0.334
0.091,0.33935
0.092,0.3446
0.093,0.34965
0.094,0.3547
0.095,0.36015
0.096,0.3652
0.097,0.37025
0.098,0.37545
0.099,0.38065
0.1,0.3859
0.101,0.3911
0.102,0.39605
0.103,0.4016
0.104,0.4067
0.105,0.4118
0.106,0.4172
0.107,0.42235
0.108,0.4277
0.109,0.43275
0.11,0.43815
0.111,0.44365
0.112,0.4491
0.113,0.45455
0.114,0.4599
0.115,0.4652
0.116,0.47075
0.117,0.47625
0.118,0.48165
0.119,0.4872
0.12,0.4929
0.121,0.49825
0.122,0.50375
0.123,0.5092
0.124,0.51465
0.125,0.5201
0.126,0.52525
0.127,0.53085
0.128,0.5365
0.129,0.5418
0.13,0.54735
0.131,0.55305
0.132,0.55855
0.133,0.56395
0.134,0.56945
0.135,0.57485
0.136,0.5804
0.137,0.5858
0.138,0.59125
0.139,0.597
0.14,0.6026
0.141,0.60815
0.142,0.61355
0.143,0.6192
0.144,0.6249
0.145,0.63045
0.146,0.636
0.147,0.6416
0.148,0.64745
0.149,0.65315
0.15,0.65875
0.151,0.6646
0.152,0.67045
0.153,0.67595
0.154,0.68145
0.155,0.6872
0.156,0.69285
0.157,0.69855
0.158,0.70435
0.159,0.7101
0.16,0.71555
0.161,0.7211
0.162,0.72665
0.163,0.73215
0.164,0.73795
0.165,0.74355
0.166,0.74905
0.167,0.75485
0.168,0.76045
0.169,0.76585
0.17,0.7713
0.171,0.77705
0.172,0.7826
0.173,0.78785
0.174,0.79375
0.175,0.7995
0.176,0.80495
0.177,0.8107
0.178,0.81635
0.179,0.822
0.18,0.82755
0.181,0.83285
0.182,0.83875
0.183,0.8442
0.184,0.84995
0.185,0.85565
0.186,0.8615
0.187,0.86705
0.188,0.87255
0.189,0.8783
0.19,0.8839
0.191,0.88945
0.192,0.89505
0.193,0.90055
0.194,0.90635
0.195,0.912
0.196,0.9173
0.197,0.923
0.198,0.9285
0.199,0.9338
0.2,0.9392
0.201,0.94485
0.202,0.95025
0.203,0.95575
0.204,0.96115
0.205,0.9668
0.206,0.9723
0.207,0.97765
0.208,0.9833
0.209,0.98875
0.21,0.9943
0.211,0.99965
0.212,1.00515
0.213,1.01095
0.214,1.01635
0.215,1.0218
0.216,1.02745
0.217,1.03275
0.218,1.0385
0.219,1.04365
0.22,1.0493
0.221,1.0549
0.222,1.06045
0.223,1.0661
0.224,1.0714
0.225,1.07685
0.226,1.08215
0.227,1.08765
0.228,1.09275
0.229,1.09845
0.23,1.10375
0.231,1.10905
0.232,1.11455
0.233,1.11975
0.234,1.125
0.235,1.13025
0.236,1.13545
0.237,1.141
0.238,1.1461
0.239,1.15145
0.24,1.1567
0.241,1.16215
0.242,1.16735
0.243,1.17285
0.244,1.17805
0.245,1.1832
0.246,1.1886
0.247,1.1938
0.248,1.19915
0.249,1.20435
0.25,1.21
0.251,1.2154
0.252,1.2205
0.253,1.226
0.254,1.23145
0.255,1.23665
0.256,1.2421
0.257,1.2474
0.258,1.25285
0.259,1.25825
0.26,1.2635
0.261,1.26885
0.262,1.27435
0.263,1.2794
0.264,1.2848
0.265,1.29005
0.266,1.2954
0.267,1.30055
0.268,1.3059
0.269,1.31125
0.27,1.31675
0.271,1.32205
0.272,1.32725
0.273,1.33245
0.274,1.3376
0.275,1.34315
0.276,1.34835
0.277,1.35375
0.278,1.35925
0.279,1.36475
0.28,1.37015
0.281,1.37535
0.282,1.38085
0.283,1.3862
0.284,1.39165
0.285,1.3969
0.286,1.4026
0.287,1.40815
0.288,1.41355
0.289,1.41935
0.29,1.42475
0.291,1.43025
0.292,1.43575
0.293,1.44095
0.294,1.4468
0.295,1.45235
0.296,1.45755
0.297,1.46345
0.298,1.469
0.299,1.47435
0.3,1.47985
0.301,1.48515
0.302,1.49075
0.303,1.49645
0.304,1.5018
0.305,1.50715
0.306,1.5129
0.307,1.51845
0.308,1.5238
0.309,1.5292
