PGAIN,IGAIN,DGAIN,ITAE_Score
0.0,0.0,0.0,1462.6275020000785
0.0,0.0,11.11111111111111,1462.1305079855317
0.0,0.0,22.22222222222222,1462.1305079855317
0.0,0.0,33.33333333333333,1462.1305079855317
0.0,0.0,44.44444444444444,1462.1305079855317
0.0,0.0,55.55555555555556,1462.1305079855317
0.0,0.0,66.66666666666666,1462.1305079855317
0.0,0.0,77.77777777777777,1462.1305079855317
0.0,0.0,88.88888888888889,1462.1305079855317
0.0,0.0,100.0,1462.1305079855317
0.0,100.0,0.0,2974.7258751596864
0.0,100.0,11.11111111111111,1177.462971471174
0.0,100.0,22.22222222222222,1028.794931671725
0.0,100.0,33.33333333333333,981.0499299938987
0.0,100.0,44.44444444444444,1305.527136398305
0.0,100.0,55.55555555555556,1346.563165404059
0.0,100.0,66.66666666666666,2659.9632600366162
0.0,100.0,77.77777777777777,3707.412883115731
0.0,100.0,88.88888888888889,3945.083739723104
0.0,100.0,100.0,3948.4908534669266
1000.0,0.0,0.0,417.8949596610287
1000.0,0.0,11.11111111111111,424.7671462766472
1000.0,0.0,22.22222222222222,433.5183189343769
1000.0,0.0,33.33333333333333,442.0894584736513
1000.0,0.0,44.44444444444444,450.79084786310034
1000.0,0.0,55.55555555555556,459.5456345064789
1000.0,0.0,66.66666666666666,468.2628417995715
1000.0,0.0,77.77777777777777,477.7662450872203
1000.0,0.0,88.88888888888889,486.2527624434533
1000.0,0.0,100.0,496.33525270693684
1000.0,100.0,0.0,541.7355224873266
1000.0,100.0,11.11111111111111,548.4071657228138
1000.0,100.0,22.22222222222222,539.2826634045127
1000.0,100.0,33.33333333333333,522.865231146074
1000.0,100.0,44.44444444444444,508.0463531303413
1000.0,100.0,55.55555555555556,497.5825809557373
1000.0,100.0,66.66666666666666,487.0796157735236
1000.0,100.0,77.77777777777777,477.3267244541421
1000.0,100.0,88.88888888888889,469.85512727407587
1000.0,100.0,100.0,471.1054573830336
