PGAIN,IGAIN,DGAIN,ITAE_Score
0,0,0,1400.115
0,0,11.11111111,1399.843747
0,0,22.22222222,1399.843747
0,0,33.33333333,1399.843747
0,0,44.44444444,1399.843747
0,0,55.55555556,1399.843747
0,0,66.66666667,1399.843747
0,0,77.77777778,1399.843747
0,0,88.88888889,1399.843747
0,0,100,1399.843747
0,11.11111111,0,4137.23105
0,11.11111111,11.11111111,4005.625897
0,11.11111111,22.22222222,3871.352224
0,11.11111111,33.33333333,3734.801992
0,11.11111111,44.44444444,3597.366265
0,11.11111111,55.55555556,3462.677405
0,11.11111111,66.66666667,3337.626254
0,11.11111111,77.77777778,3160.927092
0,11.11111111,88.88888889,2900.345392
0,11.11111111,100,2591.266952
0,22.22222222,0,4137.77152
0,22.22222222,11.11111111,4071.983901
0,22.22222222,22.22222222,4005.563651
0,22.22222222,33.33333333,3938.937439
0,22.22222222,44.44444444,3871.452749
0,22.22222222,55.55555556,3803.609217
0,22.22222222,66.66666667,3734.555059
0,22.22222222,77.77777778,3665.712957
0,22.22222222,88.88888889,3597.430997
0,22.22222222,100,3529.07444
0,33.33333333,0,4138.044209
0,33.33333333,11.11111111,4093.977351
0,33.33333333,22.22222222,4049.982736
0,33.33333333,33.33333333,4005.623318
0,33.33333333,44.44444444,3961.377891
0,33.33333333,55.55555556,3916.536994
0,33.33333333,66.66666667,3871.322016
0,33.33333333,77.77777778,3825.993217
0,33.33333333,88.88888889,3780.424898
0,33.33333333,100,3734.850046
0,44.44444444,0,4137.988031
0,44.44444444,11.11111111,4104.986743
0,44.44444444,22.22222222,4071.71934
0,44.44444444,33.33333333,4038.923396
0,44.44444444,44.44444444,4005.528481
0,44.44444444,55.55555556,3972.009061
0,44.44444444,66.66666667,3939.133328
0,44.44444444,77.77777778,3905.035272
0,44.44444444,88.88888889,3871.432797
0,44.44444444,100,3837.649647
0,55.55555556,0,4138.242087
0,55.55555556,11.11111111,4111.270356
0,55.55555556,22.22222222,4084.9751
0,55.55555556,33.33333333,4058.346499
0,55.55555556,44.44444444,4031.621997
0,55.55555556,55.55555556,4005.191776
0,55.55555556,66.66666667,3978.729263
0,55.55555556,77.77777778,3952.535334
0,55.55555556,88.88888889,3925.775232
0,55.55555556,100,3898.141829
0,66.66666667,0,4138.316863
0,66.66666667,11.11111111,4115.417573
0,66.66666667,22.22222222,4093.026549
0,66.66666667,33.33333333,4071.91392
0,66.66666667,44.44444444,4050.112058
0,66.66666667,55.55555556,4028.017519
0,66.66666667,66.66666667,4004.977877
0,66.66666667,77.77777778,3983.511375
0,66.66666667,88.88888889,3961.733227
0,66.66666667,100,3939.780671
0,77.77777778,0,4138.273327
0,77.77777778,11.11111111,4118.484059
0,77.77777778,22.22222222,4099.468669
0,77.77777778,33.33333333,4080.901902
0,77.77777778,44.44444444,4061.476211
0,77.77777778,55.55555556,4042.986675
0,77.77777778,66.66666667,4025.1796
0,77.77777778,77.77777778,4004.811287
0,77.77777778,88.88888889,3987.942616
0,77.77777778,100,3967.237603
0,88.88888889,0,4138.240806
0,88.88888889,11.11111111,4121.518489
0,88.88888889,22.22222222,4104.357198
0,88.88888889,33.33333333,4088.263098
0,88.88888889,44.44444444,4072.155092
0,88.88888889,55.55555556,4055.051812
0,88.88888889,66.66666667,4039.491988
0,88.88888889,77.77777778,4023.888624
0,88.88888889,88.88888889,4004.600959
0,88.88888889,100,3988.663355
0,100,0,4138.239085
0,100,11.11111111,4122.543619
0,100,22.22222222,4107.101097
0,100,33.33333333,4092.043802
0,100,44.44444444,4079.404838
0,100,55.55555556,4063.848932
0,100,66.66666667,4050.076474
0,100,77.77777778,4036.317772
0,100,88.88888889,4019.653659
0,100,100,4004.587244
111.1111111,0,0,819.5861869
111.1111111,0,11.11111111,830.0913583
111.1111111,0,22.22222222,845.3473672
111.1111111,0,33.33333333,860.3302167
111.1111111,0,44.44444444,872.5630073
111.1111111,0,55.55555556,891.842848
